### OUTPUT ###
ID#334 : time : 130, Operation : replace, fitness : -1.0
ID#335 : time : 42, Operation : random-crossover, fitness : 0.984848484848
ID#336 : time : 26, Operation : random-crossover, fitness : -1.0
ID#337 : time : 90, Operation : replace, fitness : -1.0
ID#338 : time : 230, Operation : insert_before, fitness : -1.0
ID#339 : time : 45, Operation : insert_before, fitness : -1.0
ID#340 : time : 41, Operation : delete, fitness : -1.0
ID#341 : time : 55, Operation : insert_after, fitness : -1.0
ID#342 : time : 29, Operation : random-crossover, fitness : 0.984848484848
ID#343 : time : 30, Operation : random-crossover, fitness : -1.0
ID#344 : time : 117, Operation : replace, fitness : -1.0
ID#345 : time : 89, Operation : insert_before, fitness : -1.0
ID#346 : time : 144, Operation : delete, fitness : -1.0
ID#347 : time : 39, Operation : delete, fitness : -1.0
ID#348 : time : 52, Operation : delete, fitness : -1.0
ID#349 : time : 42, Operation : random-crossover, fitness : -1.0
ID#350 : time : 29, Operation : random-crossover, fitness : -1.0
ID#351 : time : 80407, Operation : delete, fitness : 0.969696969697
ID#352 : time : 103, Operation : replace, fitness : -1.0
ID#353 : time : 115, Operation : replace, fitness : -1.0
ID#354 : time : 50, Operation : delete, fitness : -1.0
ID#355 : time : 129, Operation : replace, fitness : -1.0
ID#356 : time : 47, Operation : random-crossover, fitness : -1.0
ID#357 : time : 45, Operation : random-crossover, fitness : -1.0
ID#358 : time : 138, Operation : replace, fitness : -1.0
ID#359 : time : 106, Operation : delete, fitness : -1.0
ID#360 : time : 429, Operation : replace, fitness : 0.969696969697
ID#361 : time : 97, Operation : insert_after, fitness : -1.0
ID#362 : time : 411, Operation : delete, fitness : 0.969696969697
ID#363 : time : 28, Operation : random-crossover, fitness : -1.0
ID#364 : time : 43, Operation : random-crossover, fitness : -1.0
ID#365 : time : 57, Operation : delete, fitness : -1.0
ID#366 : time : 126, Operation : delete, fitness : -1.0
ID#367 : time : 125, Operation : replace, fitness : -1.0
ID#368 : time : 251, Operation : replace, fitness : -1.0
ID#369 : time : 40, Operation : delete, fitness : -1.0
ID#370 : time : 28, Operation : random-crossover, fitness : -1.0
ID#371 : time : 17, Operation : random-crossover, fitness : -1.0
ID#372 : time : 133, Operation : replace, fitness : -1.0
ID#373 : time : 113, Operation : replace, fitness : -1.0
ID#374 : time : 130, Operation : replace, fitness : -1.0
ID#375 : time : 153, Operation : insert_after, fitness : -1.0
ID#376 : time : 112, Operation : replace, fitness : -1.0
ID#377 : time : 42, Operation : random-crossover, fitness : -1.0
ID#378 : time : 34, Operation : random-crossover, fitness : -1.0
ID#379 : time : 96, Operation : replace, fitness : -1.0
ID#380 : time : 33, Operation : insert_before, fitness : -1.0
ID#381 : time : 108, Operation : insert_before, fitness : -1.0
ID#382 : time : 112, Operation : delete, fitness : -1.0
ID#383 : time : 120, Operation : delete, fitness : -1.0
ID#384 : time : 37, Operation : random-crossover, fitness : -1.0
ID#385 : time : 54, Operation : random-crossover, fitness : 0.984848484848
ID#386 : time : 120, Operation : replace, fitness : -1.0
ID#387 : time : 424, Operation : delete, fitness : 0.969696969697
ID#388 : time : 110, Operation : replace, fitness : -1.0
ID#389 : time : 41, Operation : delete, fitness : -1.0
ID#390 : time : 259, Operation : insert_before, fitness : -1.0
ID#391 : time : 58, Operation : random-crossover, fitness : 0.984848484848
ID#392 : time : 68, Operation : random-crossover, fitness : -1.0
ID#393 : time : 57, Operation : delete, fitness : -1.0
ID#394 : time : 251, Operation : delete, fitness : -1.0
ID#395 : time : 89, Operation : replace, fitness : -1.0
ID#396 : time : 100, Operation : insert_before, fitness : -1.0
ID#397 : time : 207, Operation : insert_before, fitness : -1.0
ID#398 : time : 100, Operation : random-crossover, fitness : -1.0
ID#399 : time : 26, Operation : random-crossover, fitness : -1.0
ID#400 : time : 109, Operation : delete, fitness : -1.0
ID#401 : time : 129, Operation : insert_after, fitness : -1.0
ID#402 : time : 112, Operation : replace, fitness : -1.0
ID#403 : time : 40, Operation : insert_after, fitness : -1.0
ID#404 : time : 103, Operation : replace, fitness : -1.0
ID#405 : time : 26, Operation : random-crossover, fitness : -1.0
ID#406 : time : 26, Operation : random-crossover, fitness : 0.984848484848
ID#407 : time : 105, Operation : insert_before, fitness : -1.0
ID#408 : time : 198, Operation : insert_after, fitness : -1.0
ID#409 : time : 41, Operation : insert_before, fitness : -1.0
ID#410 : time : 27, Operation : insert_before, fitness : -1.0
ID#411 : time : 104, Operation : replace, fitness : -1.0
