### OUTPUT ###
ID#344 : time : 113, Operation : replace, fitness : -1.0
ID#345 : time : 96, Operation : insert_before, fitness : -1.0
ID#346 : time : 159, Operation : delete, fitness : -1.0
ID#347 : time : 47, Operation : delete, fitness : -1.0
ID#348 : time : 64, Operation : delete, fitness : -1.0
ID#349 : time : 51, Operation : random-crossover, fitness : -1.0
ID#350 : time : 37, Operation : random-crossover, fitness : -1.0
ID#351 : time : 80410, Operation : delete, fitness : 0.969696969697
ID#352 : time : 97, Operation : replace, fitness : -1.0
ID#353 : time : 112, Operation : replace, fitness : -1.0
ID#354 : time : 47, Operation : delete, fitness : -1.0
ID#355 : time : 106, Operation : replace, fitness : -1.0
ID#356 : time : 44, Operation : random-crossover, fitness : -1.0
ID#357 : time : 53, Operation : random-crossover, fitness : -1.0
ID#358 : time : 101, Operation : replace, fitness : -1.0
ID#359 : time : 103, Operation : delete, fitness : -1.0
ID#360 : time : 389, Operation : replace, fitness : 0.969696969697
ID#361 : time : 99, Operation : insert_after, fitness : -1.0
ID#362 : time : 559, Operation : delete, fitness : 0.969696969697
ID#363 : time : 30, Operation : random-crossover, fitness : -1.0
ID#364 : time : 41, Operation : random-crossover, fitness : -1.0
ID#365 : time : 70, Operation : delete, fitness : -1.0
ID#366 : time : 117, Operation : delete, fitness : -1.0
ID#367 : time : 98, Operation : replace, fitness : -1.0
ID#368 : time : 95, Operation : replace, fitness : -1.0
ID#369 : time : 51, Operation : delete, fitness : -1.0
ID#370 : time : 42, Operation : random-crossover, fitness : -1.0
ID#371 : time : 15, Operation : random-crossover, fitness : -1.0
ID#372 : time : 139, Operation : replace, fitness : -1.0
ID#373 : time : 134, Operation : replace, fitness : -1.0
ID#374 : time : 150, Operation : replace, fitness : -1.0
ID#375 : time : 118, Operation : insert_after, fitness : -1.0
ID#376 : time : 154, Operation : replace, fitness : -1.0
ID#377 : time : 47, Operation : random-crossover, fitness : -1.0
ID#378 : time : 29, Operation : random-crossover, fitness : -1.0
ID#379 : time : 106, Operation : replace, fitness : -1.0
ID#380 : time : 29, Operation : insert_before, fitness : -1.0
ID#381 : time : 105, Operation : insert_before, fitness : -1.0
ID#382 : time : 100, Operation : delete, fitness : -1.0
ID#383 : time : 109, Operation : delete, fitness : -1.0
ID#384 : time : 28, Operation : random-crossover, fitness : -1.0
ID#385 : time : 43, Operation : random-crossover, fitness : 0.984848484848
ID#386 : time : 107, Operation : replace, fitness : -1.0
ID#387 : time : 411, Operation : delete, fitness : 0.969696969697
ID#388 : time : 110, Operation : replace, fitness : -1.0
ID#389 : time : 44, Operation : delete, fitness : -1.0
ID#390 : time : 233, Operation : insert_before, fitness : -1.0
ID#391 : time : 43, Operation : random-crossover, fitness : 0.984848484848
ID#392 : time : 56, Operation : random-crossover, fitness : -1.0
ID#393 : time : 56, Operation : delete, fitness : -1.0
ID#394 : time : 233, Operation : delete, fitness : -1.0
ID#395 : time : 99, Operation : replace, fitness : -1.0
ID#396 : time : 86, Operation : insert_before, fitness : -1.0
ID#397 : time : 153, Operation : insert_before, fitness : -1.0
ID#398 : time : 88, Operation : random-crossover, fitness : -1.0
ID#399 : time : 30, Operation : random-crossover, fitness : -1.0
ID#400 : time : 117, Operation : delete, fitness : -1.0
ID#401 : time : 111, Operation : insert_after, fitness : -1.0
ID#402 : time : 107, Operation : replace, fitness : -1.0
ID#403 : time : 42, Operation : insert_after, fitness : -1.0
ID#404 : time : 102, Operation : replace, fitness : -1.0
ID#405 : time : 27, Operation : random-crossover, fitness : -1.0
ID#406 : time : 28, Operation : random-crossover, fitness : 0.984848484848
ID#407 : time : 107, Operation : insert_before, fitness : -1.0
ID#408 : time : 211, Operation : insert_after, fitness : -1.0
ID#409 : time : 47, Operation : insert_before, fitness : -1.0
ID#410 : time : 30, Operation : insert_before, fitness : -1.0
ID#411 : time : 114, Operation : replace, fitness : -1.0
ID#412 : time : 42, Operation : random-crossover, fitness : 0.984848484848
ID#413 : time : 55, Operation : random-crossover, fitness : -1.0
ID#414 : time : 41, Operation : delete, fitness : -1.0
ID#415 : time : 91, Operation : insert_after, fitness : -1.0
ID#416 : time : 101, Operation : delete, fitness : -1.0
ID#417 : time : 121, Operation : insert_before, fitness : -1.0
ID#418 : time : 136, Operation : replace, fitness : -1.0
ID#419 : time : 14, Operation : random-crossover, fitness : -1.0
ID#420 : time : 42, Operation : random-crossover, fitness : -1.0
ID#421 : time : 122, Operation : insert_before, fitness : -1.0
ID#422 : time : 103, Operation : insert_after, fitness : -1.0
ID#423 : time : 405, Operation : delete, fitness : 0.984848484848
ID#424 : time : 393, Operation : delete, fitness : 0.969696969697
ID#425 : time : 42, Operation : delete, fitness : -1.0
ID#426 : time : 28, Operation : random-crossover, fitness : -1.0
ID#427 : time : 45, Operation : random-crossover, fitness : -1.0
ID#428 : time : 655, Operation : insert_after, fitness : -1.0
ID#429 : time : 42, Operation : delete, fitness : -1.0
ID#430 : time : 408, Operation : delete, fitness : 0.984848484848
ID#431 : time : 94, Operation : replace, fitness : -1.0
ID#432 : time : 527, Operation : insert_after, fitness : -1.0
ID#433 : time : 27, Operation : random-crossover, fitness : -1.0
ID#434 : time : 447, Operation : random-crossover, fitness : 0.984848484848
ID#435 : time : 125, Operation : delete, fitness : -1.0
ID#436 : time : 640, Operation : replace, fitness : -1.0
ID#437 : time : 124, Operation : replace, fitness : -1.0
ID#438 : time : 128, Operation : insert_before, fitness : -1.0
ID#439 : time : 57, Operation : delete, fitness : -1.0
ID#440 : time : 28, Operation : random-crossover, fitness : -1.0
ID#441 : time : 476, Operation : random-crossover, fitness : -1.0
ID#442 : time : 123, Operation : insert_before, fitness : -1.0
ID#443 : time : 130, Operation : replace, fitness : -1.0
ID#444 : time : 121, Operation : delete, fitness : -1.0
ID#445 : time : 117, Operation : replace, fitness : -1.0
ID#446 : time : 74, Operation : replace, fitness : -1.0
ID#447 : time : 29, Operation : random-crossover, fitness : -1.0
ID#448 : time : 30, Operation : random-crossover, fitness : 0.984848484848
ID#449 : time : 560, Operation : delete, fitness : 0.969696969697
ID#450 : time : 103, Operation : delete, fitness : -1.0
ID#451 : time : 105, Operation : replace, fitness : -1.0
ID#452 : time : 121, Operation : replace, fitness : -1.0
ID#453 : time : 107, Operation : delete, fitness : -1.0
ID#454 : time : 52, Operation : random-crossover, fitness : 0.984848484848
ID#455 : time : 57, Operation : random-crossover, fitness : -1.0
ID#456 : time : 54, Operation : delete, fitness : -1.0
ID#457 : time : 108, Operation : insert_before, fitness : -1.0
ID#458 : time : 176, Operation : insert_after, fitness : -1.0
ID#459 : time : 28, Operation : insert_after, fitness : -1.0
ID#460 : time : 427, Operation : delete, fitness : 0.939393939394
ID#461 : time : 28, Operation : random-crossover, fitness : -1.0
ID#462 : time : 27, Operation : random-crossover, fitness : -1.0
ID#463 : time : 401, Operation : delete, fitness : 0.939393939394
ID#464 : time : 98, Operation : delete, fitness : -1.0
ID#465 : time : 65, Operation : delete, fitness : -1.0
ID#466 : time : 27, Operation : insert_after, fitness : -1.0
ID#467 : time : 93, Operation : insert_before, fitness : -1.0
ID#468 : time : 14, Operation : random-crossover, fitness : -1.0
ID#469 : time : 48, Operation : random-crossover, fitness : 0.984848484848
ID#470 : time : 104, Operation : replace, fitness : -1.0
ID#471 : time : 114, Operation : insert_after, fitness : -1.0
ID#472 : time : 108, Operation : insert_before, fitness : -1.0
ID#473 : time : 238, Operation : replace, fitness : -1.0
ID#474 : time : 116, Operation : insert_after, fitness : -1.0
ID#475 : time : 75, Operation : random-crossover, fitness : -1.0
ID#476 : time : 48, Operation : random-crossover, fitness : -1.0
ID#477 : time : 144, Operation : replace, fitness : -1.0
ID#478 : time : 67, Operation : delete, fitness : -1.0
ID#479 : time : 121, Operation : delete, fitness : -1.0
ID#480 : time : 123, Operation : insert_before, fitness : -1.0
ID#481 : time : 65, Operation : delete, fitness : -1.0
ID#482 : time : 40, Operation : random-crossover, fitness : -1.0
ID#483 : time : 43, Operation : random-crossover, fitness : -1.0
ID#484 : time : 103, Operation : replace, fitness : -1.0
ID#485 : time : 381, Operation : delete, fitness : 0.984848484848
